crate,conv,warn/safe,src
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:999:28
rustr-0.1.9,*mut uint>*mut int,warn,    --> src/rdll/unix64.rs:1000:9
rustr-0.1.9,&[uint]>*mut uint,warn,    --> src/rdll/unix64.rs:1040:28
rustr-0.1.9,*mut uint>*mut [int],warn,    --> src/rdll/unix64.rs:1041:9
rustr-0.1.9,&[uint]>*mut uint,warn,    --> src/rdll/unix64.rs:1044:28
rustr-0.1.9,*mut uint>*mut int,warn,    --> src/rdll/unix64.rs:1045:9
rustr-0.1.9,&[uint]>*mut uint,warn,    --> src/rdll/unix64.rs:1065:28
rustr-0.1.9,*mut uint>*mut [int],warn,    --> src/rdll/unix64.rs:1066:9
rustr-0.1.9,&[uint]>*mut uint,warn,    --> src/rdll/unix64.rs:1069:28
rustr-0.1.9,*mut uint>*mut int,warn,    --> src/rdll/unix64.rs:1070:9
rustr-0.1.9,&[uint]>*mut uint,warn,    --> src/rdll/unix64.rs:1088:28
rustr-0.1.9,*mut uint>*mut [int],warn,    --> src/rdll/unix64.rs:1089:9
rustr-0.1.9,&[uint]>*mut uint,warn,    --> src/rdll/unix64.rs:1092:28
rustr-0.1.9,*mut uint>*mut int,warn,    --> src/rdll/unix64.rs:1093:9
rustr-0.1.9,*mut param>*mut enum,warn,  --> src/rptr.rs:89:40
rustr-0.1.9,*mut enum>*mut param,warn,   --> src/rptr.rs:123:33
rustr-0.1.9,*mut enum>*mut param,warn,   --> src/rptr.rs:131:9
rustr-0.1.9,*mut enum>*mut param,warn,   --> src/rptr.rs:182:34
rustr-0.1.9,*mut param>*mut struct,warn,   --> src/rweak.rs:129:36
rustr-0.1.9,*mut enum>*mut param,warn,   --> src/rweak.rs:159:33
rustr-0.1.9,*mut enum>*mut param,warn,   --> src/rweak.rs:167:9
rustr-0.1.9,*mut enum>*mut param,warn,   --> src/rweak.rs:218:34
rustr-0.1.9,*mut enum>*mut struct,warn,   --> src/environment.rs:154:21
zmq2-0.5.0,&&[uint]>&&[uint],warn,   --> src/lib.rs:311:36
autocxx-0.25.0,adt>adt,warn,   --> src/reference_wrapper.rs:350:33
autocxx-0.25.0,adt>adt,warn,   --> src/reference_wrapper.rs:402:9
rust-lzo-0.6.2,int>enum,warn,  --> src/lib.rs:60:13
rust-lzo-0.6.2,int>enum,warn,  --> src/lib.rs:74:14
rust-lzo-0.6.2,int>enum,warn,  --> src/lib.rs:87:14
wasmer-wasi-3.2.0-alpha.1,[uint]>[uint],safe,    --> src/state/socket.rs:1124:53
wasmer-wasi-3.2.0-alpha.1,[uint]>[uint],safe,    --> src/state/socket.rs:1149:45
wasmer-wasi-3.2.0-alpha.1,[uint]>[uint],safe,    --> src/state/socket.rs:1202:26
wasmer-wasi-3.2.0-alpha.1,[uint]>[uint],safe,    --> src/state/socket.rs:1270:26
wasmer-wasi-3.2.0-alpha.1,[uint]>[uint],safe,    --> src/state/socket.rs:1342:34
wasmer-wasi-3.2.0-alpha.1,[uint]>[uint],safe,    --> src/state/socket.rs:1357:61
wasmer-types-4.0.0-alpha.1,adt>[uint],warn,   --> src/serialize.rs:236:18
wasmer-types-4.0.0-alpha.1,[uint]>adt,safe,   --> src/serialize.rs:253:37
collectd-plugin-0.14.0,int>adt,warn,   --> src/api/mod.rs:225:35
collectd-plugin-0.14.0,[uint]>[int],warn,   --> src/api/mod.rs:618:17
artifact-0.2.4,adt>*const adt,warn,  --> src/internal/comm.rs:33:1
backtrace-0.3.67,struct>struct,warn,  --> src/symbolize/gimli.rs:98:26
backtrace-0.3.67,&mut struct>&mut struct,warn,   --> src/symbolize/gimli.rs:334:23
backtrace-0.3.67,enum>enum,warn,   --> src/symbolize/gimli.rs:344:19
inferno-0.11.15,&param>&param,warn,   --> src/collapse/common.rs:222:21
inferno-0.11.15,adt>adt,warn,   --> src/collapse/common.rs:222:21
ra_ap_rust-analyzer-0.0.149,&param>&param,warn,   --> src/main_loop.rs:174:9
ra_ap_rust-analyzer-0.0.149,adt>adt,warn,   --> src/main_loop.rs:174:9
binstall-tar-0.4.39,&adt>&[uint],warn,    --> src/header.rs:1373:18
binstall-tar-0.4.39,&mut adt>&mut [uint],warn,    --> src/header.rs:1379:18
redox_syscall-0.3.5,adt>uint,warn,   --> src/data.rs:159:13
batbox-0.14.0,&adt>&[param],warn,   --> src/color/rgba.rs:223:18
batbox-0.14.0,&mut adt>&mut [param],warn,   --> src/color/rgba.rs:229:18
batbox-0.14.0,&adt>&[param],warn,  --> src/geom/mat/mat3/mod.rs:59:18
batbox-0.14.0,&mut adt>&mut [param],warn,  --> src/geom/mat/mat3/mod.rs:62:18
batbox-0.14.0,&adt>&[param],warn,  --> src/geom/mat/mat4/mod.rs:70:18
batbox-0.14.0,&mut adt>&mut [param],warn,  --> src/geom/mat/mat4/mod.rs:73:18
batbox-0.14.0,&adt>&[param],warn,  --> src/geom/vec/vec2.rs:40:18
batbox-0.14.0,&mut adt>&mut [param],warn,  --> src/geom/vec/vec2.rs:46:18
batbox-0.14.0,&adt>&[param],warn,  --> src/geom/vec/vec3.rs:42:18
batbox-0.14.0,&mut adt>&mut [param],warn,  --> src/geom/vec/vec3.rs:48:18
batbox-0.14.0,&adt>&[param],warn,  --> src/geom/vec/vec4.rs:44:18
batbox-0.14.0,&mut adt>&mut [param],warn,  --> src/geom/vec/vec4.rs:50:18
fastcgi-1.0.0,adt>[uint],warn,  --> src/unix.rs:79:30
fastcgi-1.0.0,adt>[uint],warn,  --> src/unix.rs:84:30
fastcgi-1.0.0,uint>[uint],warn,   --> src/lib.rs:138:13
fastcgi-1.0.0,uint>[uint],warn,   --> src/lib.rs:158:9
fastcgi-1.0.0,uint>[uint],warn,   --> src/lib.rs:161:9
fastcgi-1.0.0,[uint]>uint,safe,   --> src/lib.rs:177:44
fastcgi-1.0.0,[uint]>uint,safe,   --> src/lib.rs:178:48
fastcgi-1.0.0,int>[uint],warn,   --> src/lib.rs:191:21
fastcgi-1.0.0,[uint]>uint,safe,   --> src/lib.rs:230:34
fawkes-crypto-4.4.0,[uint]>[[uint]],warn, --> src/engines/mod.rs:6:1
fawkes-crypto-4.4.0,[uint]>[[uint]],warn,  --> src/engines/mod.rs:10:1
tst-0.10.1,adt>adt,warn,   --> src/traverse.rs:429:14
tst-0.10.1,adt>adt,warn,   --> src/map.rs:601:18
tst-0.10.1,adt>adt,warn,   --> src/map.rs:666:70
queen-io-0.6.1,[uint]>uint,safe,   --> src/sys/timerfd.rs:207:34
queen-io-0.6.1,struct>*mut struct,warn,  --> src/plus/lru_cache.rs:66:27
queen-io-0.6.1,*mut struct>struct,warn,   --> src/plus/lru_cache.rs:311:45
current-0.1.2,*mut param>&mut param,warn,  --> src/lib.rs:84:14
current-0.1.2,&adt>&mut adt,warn,   --> src/lib.rs:117:13
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:491:236
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:493:189
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:495:172
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:497:188
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:499:164
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:501:229
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:503:181
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:505:202
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:507:199
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:509:117
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:511:121
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:513:118
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:515:118
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:517:115
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:519:156
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:521:215
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:523:87
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:525:89
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:527:89
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:529:93
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:531:221
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:533:188
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:535:120
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:537:166
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:539:149
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:541:120
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:543:182
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:545:153
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:547:212
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:549:194
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:551:179
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:553:164
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:555:192
glutin_glx_sys-0.4.0,*const adt>fnptr,warn,   --> /home/RuMorph/crates/source/glutin_glx_sys-0.4.0/target/debug/build/glutin_glx_sys-bd331d1310acc54c/out/glx_bindings.rs:557:172
