universal-hash,0.5.1,RustCrypto/traits
doc-comment,0.4.1,GuillaumeGomez/doc-comment
mio-uds,0.6.8,deprecrated/mio-uds
approx,0.5.1,brendanzab/approx
lru,0.10.0,jeromefroe/lru-rs.git
tonic-build,0.9.2,hyperium/tonic
async-io,1.13.0,smol-rs/async-io
serde_with,3.0.0,jonasbb/serde_with
trust-dns-proto,0.23.0-alpha.2,bluejekyll/trust-dns
float-cmp,0.9.0,mikedilger/float-cmp
serde_with_macros,3.0.0,jonasbb/serde_with/
difference,2.0.0,johannhof/difference.rs
polyval,0.6.0,RustCrypto/universal-hashes
plotters-backend,0.3.4,plotters-rs/plotters
ntapi,0.4.1,MSxDOS/ntapi
plotters-svg,0.3.3,plotters-rs/plotters.git
keccak,0.1.4,RustCrypto/sponges/tree/master/keccak
fs_extra,1.3.0,webdesus/fs_extra
string_cache,0.8.7,servo/string-cache
enum-as-inner,0.5.2,bluejekyll/enum-as-inner
ignore,0.4.20,BurntSushi/ripgrep/tree/master/crates/ignore
aes-gcm,0.10.2,RustCrypto/AEADs
fs2,0.4.3,danburkert/fs2-rs
async-lock,2.7.0,smol-rs/async-lock
ghash,0.5.0,RustCrypto/universal-hashes
predicates,3.0.3,assert-rs/predicates-rs
num_enum,0.6.1,illicitonion/num_enum
trust-dns-resolver,0.23.0-alpha.2,bluejekyll/trust-dns
num_enum_derive,0.6.1,illicitonion/num_enum
tokio-io-timeout,1.2.0,sfackler/tokio-io-timeout
tokio-io,0.2.0-alpha.6,tokio-rs/tokio
futures-timer,3.0.2,async-rs/futures-timer
async-executor,1.5.1,smol-rs/async-executor
number_prefix,0.4.0,ogham/rust-number-prefix
unreachable,1.0.0,reem/rust-unreachable.git
quick-xml,0.28.2,tafia/quick-xml
tokio-tungstenite,0.19.0,snapview/tokio-tungstenite
encode_unicode,1.0.0,tormol/encode_unicode
resolv-conf,0.7.0,http://github.com/tailhook/resolv-conf
dyn-clone,1.0.11,dtolnay/dyn-clone
hyper-timeout,0.4.1,hjr3/hyper-timeout
precomputed-hash,0.2.0,emilio/precomputed-hash
zip,0.10.0-alpha.1,zip-rs/zip.git
utf8parse,0.2.1,alacritty/vte
cpuid-bool,0.99.99,RustCrypto/utils/tree/master/cpufeatures
getopts,0.2.21,rust-lang/getopts
new_debug_unreachable,1.0.4,mbrubeck/rust-debug-unreachable
wait-timeout,0.2.0,alexcrichton/wait-timeout
target-lexicon,0.12.7,bytecodealliance/target-lexicon
headers,0.3.8,hyperium/headers
home,0.5.5,rust-lang/cargo
serde_repr,0.1.12,dtolnay/serde-repr
predicates-core,1.0.6,assert-rs/predicates-rs/tree/master/crates/core
png,0.17.8,image-rs/image-png.git
tokio-timer,0.3.0-alpha.6,tokio-rs/tokio
owning_ref,0.4.1,Kimundi/owning-ref-rs
predicates-tree,1.0.9,assert-rs/predicates-rs/tree/master/crates/tree
blocking,1.3.1,smol-rs/blocking
atomic-waker,1.1.1,smol-rs/atomic-waker
tokio-executor,0.2.0-alpha.6,tokio-rs/tokio
rustc-serialize,0.3.24,rust-lang/rustc-serialize
backtrace-sys,0.1.37,alexcrichton/backtrace-rs
codespan-reporting,0.11.1,brendanzab/codespan
der,0.7.6,RustCrypto/formats/tree/master/der
headers-core,0.2.0,hyperium/headers
prometheus,0.13.3,tikv/rust-prometheus
indicatif,0.17.3,console-rs/indicatif
tempdir,0.3.7,rust-lang/tempdir
hkdf,0.12.3,RustCrypto/KDFs/
base64ct,1.6.0,RustCrypto/formats/tree/master/base64ct
const-oid,0.9.2,RustCrypto/formats/tree/master/const-oid
tokio-reactor,0.2.0-alpha.1,tokio-rs/tokio
async-std,1.12.0,async-rs/async-std
camino,1.1.4,camino-rs/camino
tower-http,0.4.0,tower-rs/tower-http
time-core,0.1.1,time-rs/time
image,0.24.6,image-rs/image
curl-sys,0.4.62+curl-8.1.0,alexcrichton/curl-rust
inotify,0.10.0,hannobraun/inotify
notify,6.0.0,notify-rs/notify.git
tokio-threadpool,0.2.0-alpha.1,tokio-rs/tokio
pulldown-cmark,0.9.3,raphlinus/pulldown-cmark
axum,0.6.18,tokio-rs/axum
pathdiff,0.2.1,Manishearth/pathdiff
ed25519,2.2.1,RustCrypto/signatures/tree/master/ed25519
tokio-tcp,0.2.0-alpha.1,tokio-rs/tokio
pyo3,0.18.3,pyo3/pyo3
ctrlc,3.3.1,Detegr/rust-ctrlc.git
cargo-platform,0.1.2,rust-lang/cargo
config,0.13.3,mehcode/config-rs
matchit,0.7.0,ibraheemdev/matchit
is-terminal,0.4.7,sunfishcode/is-terminal
bzip2-sys,0.1.11+1.0.8,alexcrichton/bzip2-rs
kv-log-macro,1.0.7,yoshuawuyts/kv-log-macro
axum-core,0.3.4,tokio-rs/axum
gcc,0.3.55,alexcrichton/gcc-rs
pkcs8,0.10.2,RustCrypto/formats/tree/master/pkcs8
paste-impl,0.1.18,dtolnay/paste
inotify-sys,0.1.5,hannobraun/inotify-sys
libsqlite3-sys,0.26.0,rusqlite/rusqlite
stringprep,0.1.2,sfackler/rust-stringprep
ws2_32-sys,0.2.1,retep998/winapi-rs
hashlink,0.8.2,kyren/hashlink
spki,0.7.2,RustCrypto/formats/tree/master/spki
yansi,0.5.1,SergioBenitez/yansi
normalize-line-endings,0.3.0,derekdreery/normalize-line-endings
tokio-sync,0.2.0-alpha.6,tokio-rs/tokio
tokio-current-thread,0.2.0-alpha.1,tokio-rs/tokio
async-global-executor,2.3.1,Keruspe/async-global-executor
take_mut,0.2.2,Sgeo/take_mut
curl,0.5.0,alexcrichton/curl-rust
sync_wrapper,0.1.2,Actyx/sync_wrapper
deflate,1.0.0,image-rs/deflate-rs
blake3,1.3.3,BLAKE3-team/BLAKE3
urlencoding,2.1.2,kornelski/rust_urlencoding
twoway,0.2.2,bluss/twoway
blake2,0.10.6,RustCrypto/hashes
toml_edit,0.19.10,toml-rs/toml
fuchsia-cprng,0.1.1,https://fuchsia.googlesource.com/fuchsia/+/master/garnet/public/rust/fuchsia-cprng
handlebars,5.0.0-beta.2,sunng87/handlebars-rust
opentelemetry,0.19.0,open-telemetry/opentelemetry-rust
value-bag,1.4.0,sval-rs/value-bag
rdrand,0.8.2,nagisa/rust_rdrand/
http-range-header,0.3.0,MarcusGrass/parse-range-headers
cloudabi,0.1.0,nuxinl/cloudabi
alloc-no-stdlib,2.0.4,dropbox/rust-alloc-no-stdlib
crypto-bigint,0.5.2,RustCrypto/crypto-bigint
brotli-decompressor,2.3.4,dropbox/rust-brotli-decompressor
pyo3-macros,0.18.3,pyo3/pyo3
pyo3-macros-backend,0.18.3,pyo3/pyo3
actix-rt,2.8.0,actix/actix-net.git
windows_aarch64_gnullvm,0.48.0,microsoft/windows-rs
windows_x86_64_gnullvm,0.48.0,microsoft/windows-rs
twox-hash,1.6.3,shepmaster/twox-hash
alloc-stdlib,0.2.2,dropbox/rust-alloc-no-stdlib
dotenv,0.15.0,dotenv-rs/dotenv
rust-ini,0.19.0,zonyitoo/rust-ini
brotli,3.3.4,dropbox/rust-brotli
ed25519-dalek,2.0.0-rc.2,dalek-cryptography/ed25519-dalek
erased-serde,0.3.25,dtolnay/erased-serde
quickcheck,1.0.3,BurntSushi/quickcheck
color_quant,1.1.0,image-rs/color_quant.git
actix-web,4.3.1,actix/actix-web.git
blake2b_simd,1.0.1,oconnor663/blake2_simd
slog,2.7.0,slog-rs/slog
fuchsia-zircon,0.3.3,https://fuchsia.googlesource.com/garnet/
fuchsia-zircon-sys,0.3.3,https://fuchsia.googlesource.com/garnet/
wasmparser,0.107.0,bytecodealliance/wasm-tools/tree/main/crates/wasmparser
phf_macros,0.11.1,rust-phf/rust-phf
matrixmultiply,0.3.7,bluss/matrixmultiply/
actix-codec,0.5.1,actix/actix-net
memmap,0.7.0,danburkert/memmap-rs
tokio-tls,0.3.1,tokio-rs/tokio
rawpointer,0.2.1,bluss/rawpointer/
rand_xoshiro,0.6.0,rust-random/rngs
